benchmark,implementation,vector_length,useful_macs,program_instructions,retired_instructions,cycles_to_store,total_cycles,cpi,macs_per_cycle,mmac_per_s_100mhz,speedup_vs_scalar,speedup_vs_mac8,dot_peak_utilisation_percent,first_issue_cycle,last_issue_cycle,first_completion_cycle,last_completion_cycle,first_dot_retire_cycle,last_dot_retire_cycle,dot_issue_interval,dot_completion_interval,dot_retirement_interval,load_count,dot_count,store_count,hold_cycles,final_result,pass_fail,notes
"historical_dot4","Scalar",4,4,24,24,29,29,1.208333,0.137931,13.793103,1.000000,0.655172,,-1,-1,-1,-1,-1,-1,0.000000,0.000000,0.000000,0,0,1,0,0xfffffff2,PASS,"exact committed scalar and MAC8 images; DOT uses two packed LOADs"
"historical_dot4","MAC8",4,4,14,14,19,19,1.357143,0.210526,21.052632,1.526316,1.000000,,-1,-1,-1,-1,-1,-1,0.000000,0.000000,0.000000,0,4,1,0,0xfffffff2,PASS,"exact committed scalar and MAC8 images; DOT uses two packed LOADs"
"historical_dot4","DOT4ACC",4,4,6,6,16,16,2.666667,0.250000,25.000000,1.812500,1.187500,6.250000,8,8,11,11,12,12,0.000000,0.000000,0.000000,2,1,1,5,0xfffffff2,PASS,"exact committed scalar and MAC8 images; DOT uses two packed LOADs"
"packed4","Scalar",4,4,8,8,13,13,1.625000,0.307692,30.769231,1.000000,0.769231,,-1,-1,-1,-1,-1,-1,0.000000,0.000000,0.000000,0,0,1,0,0x0000029d,PASS,"register-resident repeated signed edge pattern"
"packed4","MAC8",4,4,5,5,10,10,2.000000,0.400000,40.000000,1.300000,1.000000,,-1,-1,-1,-1,-1,-1,0.000000,0.000000,0.000000,0,4,1,0,0x0000029d,PASS,"register-resident repeated signed edge pattern"
"packed4","DOT4ACC",4,4,2,2,12,12,6.000000,0.333333,33.333333,1.083333,0.833333,8.333333,4,4,7,7,8,8,0.000000,0.000000,0.000000,0,1,1,5,0x0000029d,PASS,"register-resident repeated signed edge pattern"
"vector_scaling","Scalar",8,8,15,15,20,20,1.333333,0.400000,40.000000,1.000000,0.700000,,-1,-1,-1,-1,-1,-1,0.000000,0.000000,0.000000,0,0,1,0,0x00000515,PASS,"register-resident repeated signed edge pattern"
"vector_scaling","MAC8",8,8,9,9,14,14,1.555556,0.571429,57.142857,1.428571,1.000000,,-1,-1,-1,-1,-1,-1,0.000000,0.000000,0.000000,0,8,1,0,0x00000515,PASS,"register-resident repeated signed edge pattern"
"vector_scaling","DOT4ACC",8,8,3,3,13,13,4.333333,0.615385,61.538462,1.538462,1.076923,15.384615,4,5,7,8,8,9,1.000000,1.000000,1.000000,0,2,1,5,0x00000515,PASS,"register-resident repeated signed edge pattern"
"vector_scaling","Scalar",16,16,29,29,34,34,1.172414,0.470588,47.058824,1.000000,0.647059,,-1,-1,-1,-1,-1,-1,0.000000,0.000000,0.000000,0,0,1,0,0x00000a05,PASS,"register-resident repeated signed edge pattern"
"vector_scaling","MAC8",16,16,17,17,22,22,1.294118,0.727273,72.727273,1.545455,1.000000,,-1,-1,-1,-1,-1,-1,0.000000,0.000000,0.000000,0,16,1,0,0x00000a05,PASS,"register-resident repeated signed edge pattern"
"vector_scaling","DOT4ACC",16,16,5,5,15,15,3.000000,1.066667,106.666667,2.266667,1.466667,26.666667,4,7,7,10,8,11,1.000000,1.000000,1.000000,0,4,1,5,0x00000a05,PASS,"register-resident repeated signed edge pattern"
"vector_scaling","Scalar",32,32,57,57,62,62,1.087719,0.516129,51.612903,1.000000,0.612903,,-1,-1,-1,-1,-1,-1,0.000000,0.000000,0.000000,0,0,1,0,0x000013e5,PASS,"register-resident repeated signed edge pattern"
